code,sector,screen_date,entry_price,final_price,forward_return,max_dd_fwd,days_held,v2_score,v1_score,reasons,pct_ma60,vol_ratio,chg20d,accum_score
600776,通信设备,2025-08-25,11.88,13.40,12.8,-48.7,200,105,87,完美多头排列|极早期(8%)|温和放量(1.5x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(通信设备)|周线向上|多周期共振,8.2,1.5,6.2,12
000727,光学光电子,2025-08-25,2.68,2.67,-0.4,-19.2,200,105,87,完美多头排列|极早期(9%)|温和放量(1.5x)|稳健上行(+9%)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,9.2,1.5,8.6,12
600105,通信设备,2025-08-25,9.97,65.71,559.1,-20.1,200,105,87,完美多头排列|极早期(15%)|温和放量(1.2x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(通信设备)|周线向上|多周期共振,14.9,1.2,6.5,12
000636,元件,2025-08-25,15.60,78.50,403.2,-30.0,200,105,87,完美多头排列|极早期(12%)|温和放量(1.5x)|稳健上行(+8%)|底部蓄力(波动收缩)|强势行业(元件)|周线向上|多周期共振,11.5,1.5,8.4,12
600176,玻璃玻纤,2025-08-25,13.41,74.12,452.7,-20.7,200,105,87,完美多头排列|极早期(12%)|温和放量(1.5x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(玻璃玻纤)|周线向上|多周期共振,12.5,1.5,5.7,12
000050,光学光电子,2025-08-25,10.02,9.88,-1.4,-30.1,200,105,87,完美多头排列|极早期(11%)|温和放量(1.4x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,10.8,1.4,6.1,12
002643,电子化学品,2025-08-25,13.72,19.44,41.6,-24.9,200,102,84,完美多头排列|早期(16%)|温和放量(1.3x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(电子化学品)|周线向上|多周期共振,15.6,1.3,5.9,12
900918,玻璃玻纤,2025-08-25,0.34,0.31,-7.9,-23.3,200,100,72,完美多头排列|极早期(6%)|温和放量(1.4x)|底部蓄力(波动收缩)|强势行业(玻璃玻纤)|周线向上|多周期共振,6.1,1.4,2.7,12
000100,光学光电子,2025-08-25,4.69,5.40,15.1,-19.2,200,100,72,完美多头排列|极早期(7%)|温和放量(1.4x)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,7.3,1.4,3.1,12
600563,元件,2025-08-25,118.38,188.76,59.5,-24.3,200,100,72,完美多头排列|极早期(8%)|温和放量(1.5x)|底部蓄力(波动收缩)|强势行业(元件)|周线向上|多周期共振,7.5,1.5,4.4,12
002623,光伏设备,2025-08-25,21.88,15.30,-30.1,-52.3,200,100,72,完美多头排列|极早期(15%)|温和放量(1.5x)|底部蓄力(波动收缩)|强势行业(光伏设备)|周线向上|多周期共振,14.6,1.5,1.9,12
605006,玻璃玻纤,2025-08-25,8.34,24.94,199.0,-26.9,200,100,87,完美多头排列|极早期(12%)|温和放量(1.3x)|稳健上行(+11%)|蓄力中(8/15)|强势行业(玻璃玻纤)|周线向上|多周期共振,12.0,1.3,10.8,8
200012,玻璃玻纤,2025-08-25,1.88,1.59,-15.4,-32.4,200,100,72,完美多头排列|极早期(7%)|温和放量(1.5x)|底部蓄力(波动收缩)|强势行业(玻璃玻纤)|周线向上|多周期共振,7.0,1.5,0.5,12
002935,国防军工,2025-08-25,17.14,21.09,23.0,-34.1,200,100,80,完美多头排列|极早期(10%)|稳健上行(+9%)|底部蓄力(波动收缩)|强势行业(国防军工)|周线向上|多周期共振,9.7,1.2,8.8,12
600050,,2025-08-25,5.63,4.05,-28.0,-28.0,200,98,83,完美多头排列|极早期(8%)|温和放量(1.9x)|稳健上行(+7%)|底部蓄力(波动收缩)|周线向上|多周期共振,8.5,1.9,7.4,12
600584,,2025-08-25,38.86,100.89,159.6,-27.3,200,98,83,完美多头排列|极早期(15%)|温和放量(1.9x)|稳健上行(+11%)|底部蓄力(波动收缩)|周线向上|多周期共振,14.7,1.9,11.4,12
600894,专用设备,2025-08-25,10.32,7.65,-25.9,-25.9,200,98,87,完美多头排列|极早期(8%)|温和放量(1.4x)|稳健上行(+6%)|底部蓄力(波动收缩)|周线向上|多周期共振,7.9,1.4,6.0,12
600809,,2025-08-25,207.90,108.10,-48.0,-49.3,200,98,87,完美多头排列|极早期(14%)|温和放量(1.2x)|稳健上行(+12%)|底部蓄力(波动收缩)|周线向上|多周期共振,14.3,1.2,12.2,12
002202,风电设备,2025-08-25,11.95,23.33,95.2,-39.9,200,97,81,完美多头排列|早期(18%)|温和放量(1.3x)|稳健上行(+20%)|蓄力中(8/15)|强势行业(风电设备)|周线向上|多周期共振,17.8,1.3,19.5,8
002459,光伏设备,2025-08-25,12.53,7.90,-37.0,-48.3,200,97,77,完美多头排列|早期(17%)|稳健上行(+9%)|底部蓄力(波动收缩)|强势行业(光伏设备)|周线向上|多周期共振,17.3,1.2,8.7,12
603061,半导体,2025-08-25,72.12,415.05,475.5,-25.8,200,97,77,完美多头排列|早期(18%)|稳健上行(+12%)|底部蓄力(波动收缩)|强势行业(半导体)|周线向上|多周期共振,17.8,1.1,11.6,15
002036,光学光电子,2025-08-18,11.52,7.25,-37.1,-43.7,200,95,65,完美多头排列|极早期(8%)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,8.1,1.2,4.6,12
600237,元件,2025-08-25,7.93,13.21,66.6,-27.6,200,95,65,完美多头排列|极早期(8%)|底部蓄力(波动收缩)|强势行业(元件)|周线向上|多周期共振,8.0,1.1,3.1,15
002741,电子化学品,2025-08-25,20.74,39.11,88.6,-33.0,200,95,65,完美多头排列|极早期(8%)|底部蓄力(波动收缩)|强势行业(电子化学品)|周线向上|多周期共振,7.9,1.1,4.5,15
603107,汽车,2025-08-25,16.17,11.33,-29.9,-30.4,200,93,72,完美多头排列|极早期(5%)|温和放量(1.7x)|底部蓄力(波动收缩)|周线向上|多周期共振,5.2,1.7,2.6,12
601012,,2025-08-25,16.85,12.67,-24.8,-45.4,200,93,72,完美多头排列|极早期(8%)|温和放量(1.4x)|底部蓄力(波动收缩)|周线向上|多周期共振,7.8,1.4,2.2,12
001282,汽车,2025-08-25,21.29,19.75,-7.2,-37.1,200,93,80,完美多头排列|极早期(6%)|稳健上行(+5%)|底部蓄力(波动收缩)|周线向上|多周期共振,6.1,1.1,5.4,15
002415,计算机设备,2025-08-25,30.13,33.32,10.6,-15.7,200,93,80,完美多头排列|极早期(10%)|稳健上行(+9%)|底部蓄力(波动收缩)|周线向上|多周期共振,10.2,1.0,9.4,15
000858,,2025-08-25,127.16,73.17,-42.5,-42.5,200,93,72,完美多头排列|极早期(8%)|温和放量(1.6x)|底部蓄力(波动收缩)|周线向上|多周期共振,7.7,1.6,4.8,12
003004,计算机设备,2025-08-22,19.59,69.68,255.7,-15.4,200,93,80,完美多头排列|极早期(7%)|稳健上行(+9%)|底部蓄力(波动收缩)|周线向上|多周期共振,7.2,1.2,8.7,12
600031,工程机械,2025-08-25,21.23,17.68,-16.7,-26.5,200,93,80,完美多头排列|极早期(13%)|稳健上行(+8%)|底部蓄力(波动收缩)|周线向上|多周期共振,13.0,1.1,8.4,15
000821,电力设备,2025-08-22,12.22,7.44,-39.1,-54.5,200,93,72,完美多头排列|极早期(5%)|温和放量(1.3x)|底部蓄力(波动收缩)|周线向上|多周期共振,4.7,1.3,0.2,12
002703,汽车零部件,2025-08-25,13.14,14.16,7.8,-49.0,200,93,72,完美多头排列|极早期(3%)|温和放量(1.5x)|底部蓄力(波动收缩)|周线向上|多周期共振,3.1,1.5,0.5,12
002138,元件,2025-08-25,31.51,68.82,118.4,-24.8,200,90,72,完美多头排列|极早期(11%)|稳健上行(+11%)|底部蓄力(波动收缩)|强势行业(元件)|周线向上|多周期共振,11.4,0.9,10.7,15
002448,汽车零部件,2025-08-25,10.17,12.30,20.9,-33.7,200,90,77,完美多头排列|早期(16%)|稳健上行(+14%)|底部蓄力(波动收缩)|周线向上|多周期共振,15.6,1.2,13.5,12
000823,元件,2025-08-25,14.07,28.46,102.3,-24.1,200,90,72,完美多头排列|极早期(15%)|稳健上行(+9%)|底部蓄力(波动收缩)|强势行业(元件)|周线向上|多周期共振,14.8,0.9,8.9,15
000020,光学光电子,2025-08-25,14.46,10.85,-25.0,-53.5,200,90,72,完美多头排列|极早期(5%)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,5.2,0.9,5.9,15
002236,计算机设备,2025-08-25,18.31,15.98,-12.7,-24.4,200,90,80,完美多头排列|早期(16%)|温和放量(1.8x)|稳健上行(+13%)|蓄力中(8/15)|周线向上|多周期共振,16.2,1.8,13.4,8
002129,光伏设备,2025-08-25,8.49,11.19,31.8,-30.5,200,90,65,完美多头排列|极早期(7%)|底部蓄力(波动收缩)|强势行业(光伏设备)|周线向上|多周期共振,6.7,1.1,-0.4,12
600519,,2025-08-25,1429.63,1168.63,-18.3,-23.5,200,88,65,完美多头排列|极早期(4%)|底部蓄力(波动收缩)|周线向上|多周期共振,4.3,1.2,3.7,12
002520,通用设备,2025-08-25,7.05,6.87,-2.6,-30.3,200,88,65,完美多头排列|极早期(7%)|底部蓄力(波动收缩)|周线向上|多周期共振,7.4,1.0,3.7,15
003033,汽车,2025-08-25,47.31,57.33,21.2,-43.2,200,88,80,完美多头排列|极早期(10%)|稳健上行(+5%)|蓄力中(8/15)|周线向上|多周期共振,9.5,1.1,5.1,8
002201,玻璃玻纤,2025-08-25,8.54,11.99,40.5,-37.3,200,88,74,多头排列|极早期(15%)|稳健上行(+10%)|蓄力中(8/15)|强势行业(玻璃玻纤)|周线向上|多周期共振,14.8,1.2,9.6,8
000157,工程机械,2025-08-25,7.46,7.31,-2.0,-28.8,200,88,65,完美多头排列|极早期(7%)|底部蓄力(波动收缩)|周线向上|多周期共振,7.0,1.1,1.6,15
002690,专用设备,2025-08-25,18.90,13.85,-26.7,-35.3,200,88,65,完美多头排列|极早期(4%)|底部蓄力(波动收缩)|周线向上|多周期共振,3.7,1.2,4.7,12
002463,元件,2025-08-25,57.15,147.28,157.7,-24.1,200,85,71,多头排列|早期(22%)|稳健上行(+10%)|蓄力中(7/15)|强势行业(元件)|周线向上|多周期共振,22.2,1.2,10.0,7
002531,风电设备,2025-08-25,7.10,8.46,19.2,-35.2,200,85,79,站上MA20|极早期(5%)|温和放量(1.3x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(风电设备)|周线向上,4.7,1.3,6.4,12
600699,汽车零部件,2025-08-25,20.83,21.10,1.3,-43.2,200,83,72,完美多头排列|极早期(15%)|稳健上行(+14%)|底部蓄力(波动收缩)|周线向上|多周期共振,14.9,0.9,13.7,15
000045,光学光电子,2025-08-25,11.41,10.00,-12.4,-38.3,200,83,66,多头排列|极早期(3%)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,3.1,0.9,6.0,15
000030,汽车,2025-08-25,6.01,3.93,-34.6,-34.6,200,83,72,完美多头排列|极早期(3%)|温和放量(1.3x)|底部蓄力(波动收缩),3.4,1.3,1.9,12
000586,通信设备,2025-08-18,12.49,13.47,7.8,-46.4,200,83,66,多头排列|极早期(9%)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(通信设备)|周线向上|多周期共振,9.1,1.0,5.6,15
000725,光学光电子,2025-08-25,4.12,7.79,88.9,-16.1,200,83,66,多头排列|极早期(5%)|温和放量(1.6x)|底部蓄力(波动收缩)|强势行业(光学光电子),4.5,1.6,1.5,12
002533,电力设备,2025-08-25,11.33,10.38,-8.4,-34.7,200,83,69,完美多头排列|极早期(14%)|稳健上行(+16%)|底部蓄力(波动收缩)|周线向上|多周期共振,14.1,0.6,16.3,15
000425,工程机械,2025-08-25,9.24,8.22,-11.0,-35.1,200,83,72,完美多头排列|极早期(10%)|稳健上行(+6%)|底部蓄力(波动收缩)|周线向上|多周期共振,10.5,1.0,5.6,15
600152,电力设备,2025-08-25,6.81,10.63,56.1,-34.2,200,83,65,完美多头排列|极早期(1%)|底部蓄力(波动收缩)|周线向上|多周期共振,1.3,1.2,-0.3,12
600703,,2025-08-25,15.70,21.73,38.4,-39.2,200,82,77,完美多头排列|早期(17%)|放量加速|稳健上行(+15%)|蓄力中(8/15)|周线向上|多周期共振,17.5,2.3,15.2,8
600761,工程机械,2025-08-25,19.27,16.34,-15.2,-30.6,200,81,59,多头排列|极早期(4%)|底部蓄力(波动收缩)|周线向上|多周期共振,4.4,1.0,0.3,15
603159,专用设备,2025-08-18,20.35,17.06,-16.2,-41.9,200,80,66,完美多头排列|早期(18%)|稳健上行(+19%)|底部蓄力(波动收缩)|周线向上|多周期共振,17.8,0.8,18.7,11
601636,玻璃玻纤,2025-08-25,6.27,8.93,42.4,-26.1,200,80,57,完美多头排列|极早期(12%)|底部蓄力(波动收缩)|强势行业(玻璃玻纤)|周线向上|多周期共振,11.5,0.8,-2.5,15
600819,玻璃玻纤,2025-08-25,6.44,5.70,-11.5,-41.8,200,80,65,完美多头排列|极早期(2%)|底部蓄力(波动收缩)|强势行业(玻璃玻纤),2.1,1.2,-3.0,12
002414,国防军工,2025-08-25,12.76,13.17,3.2,-36.0,200,80,60,多头排列|早期(22%)|稳健上行(+15%)|底部蓄力(波动收缩)|强势行业(国防军工)|周线向上|多周期共振,22.2,0.8,15.2,10
000066,计算机设备,2025-08-25,18.99,18.57,-2.2,-38.8,200,80,81,完美多头排列|早期(20%)|温和放量(1.2x)|稳健上行(+19%)|周线向上,19.5,1.2,19.5,5
002134,元件,2025-08-25,22.47,29.06,29.3,-30.5,200,80,79,站上MA20|极早期(2%)|温和放量(1.6x)|稳健上行(+7%)|蓄力中(8/15)|强势行业(元件)|周线向上,2.2,1.6,6.8,8
000536,光学光电子,2025-08-25,5.93,3.13,-47.2,-49.4,200,79,76,完美多头排列|早期(24%)|温和放量(1.8x)|加速中(+25%)|强势行业(光学光电子)|周线向上,23.7,1.8,25.4,0
600498,通信设备,2025-08-25,27.09,76.22,181.4,-28.2,200,79,71,完美多头排列|早期(29%)|温和放量(1.3x)|加速中(+29%)|强势行业(通信设备)|周线向上,29.0,1.3,29.4,0
002506,光伏设备,2025-08-25,2.69,3.07,14.1,-50.2,200,78,66,多头排列|极早期(4%)|温和放量(1.3x)|底部蓄力(波动收缩)|强势行业(光伏设备),3.7,1.3,-2.2,12
000012,玻璃玻纤,2025-08-25,4.87,4.80,-1.4,-29.7,200,78,66,多头排列|极早期(3%)|温和放量(1.4x)|底部蓄力(波动收缩)|强势行业(玻璃玻纤),3.1,1.4,-1.6,12
601318,,2025-08-25,57.82,47.23,-18.3,-34.9,200,78,65,完美多头排列|极早期(8%)|底部蓄力(波动收缩),8.3,1.2,1.6,12
600302,专用设备,2025-08-15,7.07,8.20,16.0,-43.1,200,78,72,完美多头排列|极早期(11%)|稳健上行(+8%)|蓄力中(8/15)|周线向上|多周期共振,10.5,0.9,8.0,8
600879,国防军工,2025-08-25,11.72,20.02,70.8,-40.2,200,77,66,完美多头排列|早期(18%)|稳健上行(+15%)|底部蓄力(波动收缩)|强势行业(国防军工),17.9,0.9,15.4,15
600984,工程机械,2025-08-25,3.76,4.06,8.0,-29.0,200,76,66,多头排列|极早期(8%)|稳健上行(+6%)|底部蓄力(波动收缩)|周线向上|多周期共振,8.4,0.9,5.8,15
002598,通用设备,2025-08-22,12.54,6.46,-48.5,-53.2,200,75,72,完美多头排列|极早期(13%)|放量加速|稳健上行(+12%)|周线向上,13.2,2.5,11.9,5
002475,,2025-08-25,45.44,68.00,49.6,-33.9,200,75,84,完美多头排列|早期(20%)|温和放量(1.3x)|稳健上行(+14%)|周线向上,20.3,1.3,13.8,3
002281,,2025-08-25,63.80,240.34,276.7,-26.7,200,75,76,完美多头排列|早期(28%)|温和放量(1.4x)|稳健上行(+19%)|周线向上,28.2,1.4,18.6,0
002454,汽车零部件,2025-08-25,6.40,4.87,-23.9,-34.5,200,75,69,完美多头排列|早期(16%)|稳健上行(+13%)|蓄力中(8/15)|周线向上|多周期共振,16.3,1.0,13.3,8
603586,汽车,2025-08-25,20.26,12.36,-39.0,-39.0,200,75,80,完美多头排列|极早期(12%)|放量加速|稳健上行(+16%)|周线向上,12.0,2.1,16.2,5
600487,通信设备,2025-08-25,19.36,110.81,472.4,-21.3,200,74,64,完美多头排列|早期(27%)|加速中(+27%)|强势行业(通信设备)|周线向上,26.7,1.1,27.2,0
600345,通信设备,2025-08-25,30.91,65.36,111.5,-28.6,200,74,66,完美多头排列|早期(16%)|加速中(+22%)|底部蓄力(波动收缩)|强势行业(通信设备),16.4,0.9,22.3,15
002529,专用设备,2025-08-22,6.52,7.17,10.0,-19.3,200,73,64,站上MA20|极早期(1%)|温和放量(1.4x)|底部蓄力(波动收缩)|周线向上,0.9,1.4,3.8,12
600775,通信设备,2025-08-25,12.57,9.35,-25.6,-52.1,200,72,60,多头排列|早期(17%)|加速中(+21%)|蓄力中(8/15)|强势行业(通信设备)|周线向上|多周期共振,16.9,0.8,20.6,8
000977,计算机设备,2025-08-25,68.48,63.89,-6.7,-26.7,200,72,71,完美多头排列|早期(29%)|温和放量(1.8x)|加速中(+27%)|周线向上,28.7,1.8,26.7,0
002725,汽车,2025-08-25,15.07,12.02,-20.2,-43.3,200,72,80,完美多头排列|早期(17%)|放量加速|稳健上行(+12%)|周线向上,16.9,2.2,11.9,5
600243,通用设备,2025-08-18,4.32,3.50,-19.0,-48.4,200,72,71,完美多头排列|早期(27%)|温和放量(1.4x)|加速中(+28%)|周线向上,27.4,1.4,27.6,0
000001,,2025-08-25,11.76,10.23,-13.0,-14.2,200,71,60,多头排列|极早期(2%)|温和放量(1.3x)|底部蓄力(波动收缩),2.1,1.3,-0.1,12
000528,工程机械,2025-08-25,10.99,7.57,-31.1,-39.6,200,71,51,多头排列|极早期(10%)|底部蓄力(波动收缩)|周线向上|多周期共振,9.7,0.9,1.8,15
002510,汽车零部件,2025-08-19,7.39,5.46,-26.1,-36.9,200,70,75,站上MA20|极早期(13%)|放量加速|稳健上行(+13%)|底部蓄力(波动收缩)|周线向上,13.2,2.2,13.4,12
600183,元件,2025-08-25,47.21,178.50,278.1,-31.0,200,69,62,完美多头排列|中期(43%)|加速中(+21%)|强势行业(元件)|周线向上,42.9,1.0,21.4,3
002487,风电设备,2025-08-25,33.80,55.55,64.4,-38.0,200,68,45,多头排列|极早期(4%)|底部蓄力(波动收缩)|强势行业(风电设备),4.1,0.9,2.4,15
600406,电力设备,2025-08-25,22.20,22.74,2.4,-28.0,200,68,58,站上MA20|极早期(1%)|温和放量(1.5x)|底部蓄力(波动收缩),1.1,1.5,0.6,12
002189,国防军工,2025-08-25,27.13,21.03,-22.5,-32.7,200,68,45,多头排列|极早期(8%)|底部蓄力(波动收缩)|强势行业(国防军工),8.2,0.7,3.0,15
002592,汽车,2025-08-25,7.20,6.08,-15.6,-45.7,200,68,57,完美多头排列|极早期(11%)|底部蓄力(波动收缩),11.1,0.7,3.2,15
000063,通信设备,2025-08-25,45.02,35.67,-20.8,-40.7,200,66,67,完美多头排列|中期(35%)|放量加速|加速中(+33%)|强势行业(通信设备)|周线向上,35.0,2.2,33.0,0
002484,元件,2025-08-25,27.13,109.00,301.7,-29.5,200,64,56,完美多头排列|早期(26%)|加速中(+29%)|强势行业(元件)|周线向上,25.6,0.9,28.9,3
002199,元件,2025-08-25,11.09,12.20,10.0,-37.2,200,64,66,完美多头排列|早期(20%)|加速中(+22%)|强势行业(元件)|周线向上,20.3,0.8,22.4,3
000738,国防军工,2025-08-25,20.99,17.62,-16.1,-40.0,200,63,45,多头排列|极早期(5%)|底部蓄力(波动收缩)|强势行业(国防军工),4.9,1.0,-1.3,15
002080,玻璃玻纤,2025-08-25,36.54,97.67,167.3,-26.4,200,62,47,完美多头排列|加速中(+29%)|强势行业(玻璃玻纤)|周线向上,59.5,1.1,28.8,3
000680,工程机械,2025-08-25,9.80,9.76,-0.4,-28.1,200,56,45,多头排列|极早期(5%)|底部蓄力(波动收缩),5.3,0.8,-9.5,15
002584,电子化学品,2025-08-25,9.16,9.62,5.0,-29.1,200,55,26,站上MA20|底部蓄力(波动收缩)|强势行业(电子化学品)|周线向上,-3.1,1.1,0.3,15
002438,通用设备,2025-08-25,13.53,14.17,4.7,-26.5,200,53,33,极早期(6%)|底部蓄力(波动收缩)|周线向上,5.8,1.1,-2.6,15
002017,通信设备,2025-08-25,31.82,14.70,-53.8,-53.9,200,52,44,完美多头排列|加速中(+25%)|强势行业(通信设备)|周线向上,62.3,0.8,24.9,3
002488,汽车零部件,2025-08-25,13.46,8.85,-34.2,-42.3,200,48,39,站上MA20|温和放量(1.3x)|底部蓄力(波动收缩)|周线向上,-2.4,1.3,-1.6,12
002536,汽车零部件,2025-08-25,27.58,48.12,74.5,-33.1,200,48,47,完美多头排列|温和放量(1.3x)|过热|周线向上,59.8,1.3,71.2,0
603256,玻璃玻纤,2025-08-25,39.58,297.00,650.3,-37.3,200,45,40,完美多头排列|过热|强势行业(玻璃玻纤)|周线向上,99.6,1.1,78.9,3
000070,通信设备,2025-08-25,11.56,22.29,92.8,-30.8,200,45,50,多头排列|中期(32%)|强势行业(通信设备)|周线向上,31.9,0.9,39.0,3
601869,,2025-08-25,71.07,543.00,664.0,-39.6,200,40,42,完美多头排列|中期(49%)|过热|周线向上,49.0,0.9,61.0,3
600815,工程机械,2025-08-25,2.86,2.57,-10.1,-47.9,200,38,25,极早期(1%)|底部蓄力(波动收缩),1.0,0.9,-3.7,15
603800,专用设备,2025-08-25,47.80,88.46,85.1,-42.4,200,36,34,多头排列|过热|周线向上,54.1,1.1,63.2,3
603516,计算机设备,2025-08-25,105.05,122.83,16.9,-57.7,200,28,24,完美多头排列|过热|周线向上,108.4,0.9,132.0,3
600036,,2025-08-25,42.51,36.00,-15.3,-15.3,200,28,8,底部蓄力(波动收缩),-0.9,1.0,-1.3,15
002097,工程机械,2025-08-25,16.22,7.30,-55.0,-56.1,200,20,23,中期(49%)|周线向上,48.8,0.6,37.6,3
