date,open,high,low,close,atr,atr_pct,buy_price_target,sell_price_target,trend,t_shares,t_buy_shares,t_sell_shares,day_pnl,gross_pnl,do_long,do_short
2024-08-02,22.908,23.098,22.368,22.448,0.5192857142857142,0.023132827614295894,22.59642857142857,23.323428571428572,sideways,16600,16600,16600,5994.8078633287805,5994.8078633287805,True,True
2024-08-05,22.238,22.518,21.688,21.748,0.5464285714285716,0.02512546309677081,21.910142857142855,22.675142857142855,sideways,16600,16600,16600,6391.8022592529305,6391.8022592529305,True,True
2024-08-06,21.978,22.148,21.518,21.848,0.5607142857142858,0.025664330177329085,21.64157142857143,22.42657142857143,sideways,16600,16600,16600,6468.129145447514,6468.129145447514,True,True
2024-08-30,22.392,23.032,22.292,22.732,0.6642857142857148,0.029222493149996254,21.99342857142857,22.92342857142857,sideways,16600,16600,16600,5749.733395133109,5749.733395133109,True,True
2024-11-12,29.942,30.242,29.002,29.312,1.0657142857142858,0.03635761072988147,29.30257142857143,30.79457142857143,bull,16600,16600,16600,12913.769894186757,12913.769894186757,True,False
2024-11-15,28.882,29.152,28.162,28.182,1.113571428571429,0.03951356995853485,28.213857142857144,29.772857142857145,bull,16600,16600,16600,13614.964403646183,13614.964403646183,True,False
2024-11-25,27.742,29.642,27.482,28.432,1.1585714285714288,0.04074885440951846,27.046857142857142,28.668857142857142,sideways,16600,16600,16600,10517.279831128893,10517.279831128893,True,True
2024-12-18,27.582,28.262,27.452,27.962,0.6321428571428575,0.0226072118282976,27.202714285714286,28.087714285714288,bear,16600,16600,16600,5180.019644182641,5180.019644182641,False,True
2024-12-20,30.332,30.722,29.532,29.802,0.8250000000000003,0.027682705858667212,29.837,30.992,bull,16600,16600,16600,9716.290884242859,9716.290884242859,True,False
2025-01-07,27.282,28.982,27.202,28.522,1.5949999999999995,0.05592174461818945,26.325,28.558,bear,16600,16600,16600,14857.717282222817,14857.717282222817,False,True
2025-01-15,27.932,30.542,27.862,29.492,1.5735714285714286,0.05335587374784445,26.98785714285714,29.19085714285714,sideways,16600,16600,16600,14429.660943468043,14429.660943468043,True,True
2025-03-04,34.982,37.732,34.862,36.632,2.415714285714286,0.0659454653230587,33.53257142857143,36.91457142857143,bear,16600,16600,16600,22959.479829023127,22959.479829023127,False,True
2025-04-25,31.472,32.932,31.452,31.482,1.2007142857142858,0.03813970795102871,30.75157142857143,32.43257142857143,sideways,16600,16600,16600,11043.568122941884,11043.568122941884,True,True
2025-04-29,33.282,33.612,32.012,33.132,1.0800000000000003,0.032596885186526633,32.63399999999999,34.145999999999994,bull,16600,16600,16600,12754.162340054056,12754.162340054056,True,False
2025-06-03,31.672,33.822,31.432,33.012,0.9442857142857152,0.02860431704488414,31.105428571428572,32.42742857142857,bear,16600,16600,16600,7933.105781202321,7933.105781202321,False,True
2025-06-04,33.032,34.132,32.992,33.902,0.9350000000000007,0.027579493835171987,32.471,33.779999999999994,sideways,16600,16600,16600,7915.691226766794,7915.691226766794,True,True
2025-06-05,33.912,34.712,33.342,34.572,0.9335714285714296,0.027003685889489457,33.35185714285714,34.658857142857144,sideways,16600,16600,16600,10560.518705504015,10560.518705504015,True,True
2025-06-09,34.752,35.032,34.172,34.372,0.9578571428571436,0.02786736712606609,34.177285714285716,35.51828571428572,bull,16600,16600,16600,11213.39444679534,11213.39444679534,True,False
2025-06-27,38.632,40.212,37.602,39.512,1.5307142857142857,0.03874049113470049,37.71357142857143,39.85657142857143,bull,16600,16600,16600,17812.473804342793,17812.473804342793,True,False
2025-07-18,43.132,44.502,42.112,42.202,1.696428571428571,0.0401978240706263,42.11414285714285,44.48914285714285,bull,16600,16600,16600,20704.936439097626,20704.936439097626,True,False
2025-09-02,90.15,95.0,82.78,82.78,6.397714285714285,0.07728574880060746,86.31137142857143,95.26817142857143,bull,16600,16600,16600,84891.55336652906,84891.55336652906,True,False
2025-10-22,86.74,93.25,85.48,91.59,6.349285714285713,0.06932291422956341,82.93042857142856,91.81942857142856,bear,16600,16600,16600,60265.48352267477,60265.48352267477,False,True
2025-11-17,78.44,83.0,78.4,81.1,3.767142857142857,0.04645059010040514,76.17971428571428,81.45371428571428,bear,16600,16600,16600,34570.42074058438,34570.42074058438,False,True
2025-11-19,81.44,86.5,80.18,83.68,3.9257142857142844,0.04691341163616496,79.08457142857142,84.58057142857143,bear,16600,16600,16600,36291.34049058822,36291.34049058822,False,True
2025-11-25,74.96,81.0,74.61,81.0,4.639999999999998,0.057283950617283926,72.176,78.672,bear,16600,16600,16600,42028.28982735379,42028.28982735379,False,True
2025-11-26,83.0,89.1,82.33,85.64,4.987142857142855,0.05823380262894506,80.00771428571429,86.98971428571429,sideways,16600,16600,16600,47290.37256138376,47290.37256138376,True,True
2025-11-27,85.47,93.48,84.76,87.3,5.395714285714283,0.06180657830142364,82.23257142857143,89.78657142857142,sideways,16600,16600,16600,52058.79316918296,52058.79316918296,True,True
2025-12-19,110.0,118.78,105.0,115.5,7.470000000000003,0.0646753246753247,105.518,115.976,bull,16600,16600,16600,86133.61682774336,86133.61682774336,True,False
2026-01-16,111.1,116.86,111.1,114.4,5.146428571428571,0.044986263736263736,108.01214285714285,115.21714285714285,bear,16600,16600,16600,47195.105487086345,47195.105487086345,False,True
2026-01-20,118.0,122.23,112.56,118.4,5.949285714285714,0.05024734555984555,114.43042857142858,122.75942857142857,sideways,16600,16600,16600,71510.92160655209,71510.92160655209,True,True
2026-01-21,115.08,121.8,113.0,114.17,6.221428571428571,0.05449267383225515,111.34714285714286,120.05714285714285,bear,16600,16600,16600,60698.12339769467,60698.12339769467,False,True
2026-01-27,123.0,128.0,115.6,126.6,7.414285714285714,0.05856465809072444,118.55142857142857,128.93142857142857,bull,16600,16600,16600,87164.34274130431,87164.34274130431,True,False
2026-02-05,164.83,169.2,157.0,161.76,11.478571428571428,0.0709605058640667,157.94285714285715,174.01285714285714,bull,16600,16600,16600,142094.22377313673,142094.22377313673,True,False
2026-02-25,240.0,244.88,218.51,228.55,17.10357142857143,0.07483514079444949,229.73785714285714,253.68285714285713,bull,16600,16600,16600,218491.42736160383,218491.42736160383,True,False
2026-03-24,216.34,233.31,212.79,233.31,16.93714285714286,0.07259501460350118,206.17771428571427,229.8897142857143,sideways,16600,16600,16600,158578.01170195872,158578.01170195872,True,True
2026-03-31,300.0,320.0,287.01,309.49,20.422142857142862,0.06598643851866898,287.7467142857143,316.3377142857143,bull,16600,16600,16600,239889.52219292521,239889.52219292521,True,False
2026-04-21,377.3,386.66,360.52,381.58,27.01785714285715,0.07080522339445765,361.0892857142857,398.9142857142857,bull,16600,16600,16600,324112.41823794506,324112.41823794506,True,False
2026-04-23,411.2,422.88,381.5,385.02,28.07928571428572,0.07292942110613922,394.35242857142856,433.66342857142854,bull,16600,16600,16600,365079.8005537782,365079.8005537782,True,False
2026-05-08,373.38,405.0,373.0,397.23,26.41928571428571,0.06650878764012212,357.52842857142855,394.5154285714286,sideways,16600,16600,16600,247670.86745392438,247670.86745392438,True,True
2026-05-29,369.97,407.0,365.0,402.81,25.014999999999993,0.06210123879744791,354.961,389.982,sideways,16600,16600,16600,227415.55952642765,227415.55952642765,True,True
2026-06-02,373.11,408.74,368.58,408.74,26.893571428571423,0.06579627985656267,356.9738571428572,394.62485714285714,sideways,16600,16600,16600,244954.24449759815,244954.24449759815,True,True
2026-06-05,455.95,487.1,436.01,441.67,29.426428571428573,0.06662537317777656,438.29414285714284,479.49114285714285,bull,16600,16600,16600,369112.6389871184,369112.6389871184,True,False
2026-06-10,482.0,495.0,445.0,452.69,34.81214285714286,0.07690062262727884,461.1127142857143,509.8497142857143,bull,16600,16600,16600,451172.03206941206,451172.03206941206,True,False
2026-06-26,565.07,582.0,533.0,543.0,38.55428571428571,0.0710023677979479,541.9374285714287,595.9134285714287,bull,16600,16600,16600,487858.10716845095,487858.10716845095,True,False
