code,sector,tier,period,fwd_ret,max_dd,trend,bottom,v3,v5,v6,v6_trend,v6_core,v6_bottom
000020,光学光电子,T3,2024-2025,41.0,-38.5,0,19,False,True,False,False,False,False
603256,玻璃玻纤,T2,2024-2025,255.6,-34.7,21,8,False,False,False,False,False,False
002436,元件,T1,2024-2025,86.0,-30.9,17,14,False,True,False,False,False,False
002376,计算机设备,T3,2024-2025,61.9,-28.4,10,14,False,True,False,False,False,False
600586,玻璃玻纤,T2,2024-2025,-5.7,-31.1,6,19,False,True,True,False,False,True
002741,电子化学品,T2,2024-2025,68.6,-45.4,58,6,True,True,True,True,False,False
600563,元件,T1,2024-2025,37.0,-33.5,45,20,False,True,True,False,True,True
002189,国防军工,T3,2024-2025,85.3,-38.5,45,17,False,True,False,False,False,False
002080,玻璃玻纤,T2,2024-2025,178.0,-19.2,16,5,False,False,False,False,False,False
002463,元件,T1,2024-2025,49.4,-46.3,60,11,True,True,True,True,False,False
003009,国防军工,T3,2024-2025,26.9,-27.6,0,19,False,True,False,False,False,False
600703,,T3,2024-2025,8.7,-30.0,42,20,False,True,False,False,False,False
002197,计算机设备,T3,2024-2025,85.0,-35.6,43,17,False,True,False,False,False,False
002138,元件,T1,2024-2025,1.9,-26.2,52,20,True,True,True,True,True,True
200012,玻璃玻纤,T2,2024-2025,-15.7,-39.5,56,17,True,True,True,True,True,True
000725,光学光电子,T3,2024-2025,2.0,-21.5,50,17,True,True,False,False,False,False
002106,光学光电子,T3,2024-2025,9.7,-32.8,35,20,False,True,False,False,False,False
003004,计算机设备,T3,2024-2025,-20.9,-45.0,0,10,False,False,False,False,False,False
600176,玻璃玻纤,T2,2024-2025,25.6,-18.8,6,19,False,True,True,False,False,True
000012,玻璃玻纤,T2,2024-2025,1.6,-23.8,53,20,True,True,True,True,True,True
600584,,T3,2024-2025,1.3,-35.7,48,14,False,True,False,False,False,False
002152,计算机设备,T3,2024-2025,42.8,-30.5,7,19,False,True,False,False,False,False
002579,元件,T1,2024-2025,81.8,-32.8,10,10,False,False,False,False,False,False
002415,计算机设备,T3,2024-2025,-3.5,-19.3,0,19,False,True,False,False,False,False
000045,光学光电子,T3,2024-2025,40.7,-33.3,0,19,False,True,False,False,False,False
002289,光学光电子,T3,2024-2025,658.4,-19.0,0,8,False,False,False,False,False,False
600498,通信设备,T1,2024-2025,43.5,-31.4,45,20,False,True,True,False,True,True
002077,半导体,T1,2024-2025,32.9,-34.1,10,8,False,False,False,False,False,False
002129,,T3,2024-2025,-1.9,-43.5,40,14,False,True,False,False,False,False
002636,元件,T1,2024-2025,88.2,-38.6,55,10,True,True,True,True,False,False
603931,电子化学品,T2,2024-2025,39.2,-30.7,6,10,False,False,False,False,False,False
002036,光学光电子,T3,2024-2025,50.6,-36.0,0,19,False,True,False,False,False,False
002134,元件,T1,2024-2025,156.1,-36.3,48,14,False,True,True,False,True,False
600487,通信设备,T1,2024-2025,7.0,-24.8,20,18,False,True,True,False,False,True
002236,计算机设备,T3,2024-2025,16.3,-26.7,0,19,False,True,False,False,False,False
002217,光学光电子,T3,2024-2025,95.3,-27.4,0,17,False,True,False,False,False,False
603061,半导体,T1,2024-2025,50.1,-25.5,10,12,False,False,False,False,False,False
002296,通信设备,T1,2024-2025,47.4,-25.0,17,8,False,False,False,False,False,False
000070,通信设备,T1,2024-2025,76.6,-21.4,10,15,False,True,True,False,False,True
600105,通信设备,T1,2024-2025,176.7,-33.2,10,19,False,True,True,False,False,True
002313,通信设备,T1,2024-2025,47.0,-41.0,40,17,False,True,True,False,True,True
002475,,T3,2024-2025,-9.8,-38.4,48,18,False,True,False,False,False,False
600776,通信设备,T1,2024-2025,22.7,-32.2,10,19,False,True,True,False,False,True
002025,国防军工,T3,2024-2025,27.9,-32.1,0,15,False,True,False,False,False,False
605006,玻璃玻纤,T2,2024-2025,86.8,-51.2,6,8,False,False,False,False,False,False
603516,计算机设备,T3,2024-2025,51.7,-46.3,50,10,True,True,False,False,False,False
000050,光学光电子,T3,2024-2025,23.4,-29.2,42,20,False,True,False,False,False,False
002643,电子化学品,T2,2024-2025,46.2,-28.8,6,8,False,False,False,False,False,False
000636,元件,T1,2024-2025,-4.2,-28.7,65,8,True,True,True,True,False,False
000977,计算机设备,T3,2024-2025,43.6,-34.3,58,17,True,True,False,False,False,False
000063,通信设备,T1,2024-2025,25.9,-31.1,57,17,True,True,True,True,True,True
900918,玻璃玻纤,T2,2024-2025,35.6,-26.4,56,17,True,True,True,True,True,True
002194,通信设备,T1,2024-2025,77.2,-40.9,10,19,False,True,True,False,False,True
600819,玻璃玻纤,T2,2024-2025,54.1,-30.1,51,17,True,True,True,True,True,True
600183,元件,T1,2024-2025,90.7,-38.6,68,10,True,True,True,True,False,False
000536,光学光电子,T3,2024-2025,136.6,-55.2,7,17,False,True,False,False,False,False
000727,光学光电子,T3,2024-2025,20.3,-37.3,35,20,False,True,False,False,False,False
603078,电子化学品,T2,2024-2025,41.6,-33.7,6,12,False,False,False,False,False,False
600237,元件,T1,2024-2025,55.0,-30.1,45,20,False,True,True,False,True,True
002049,半导体,T1,2024-2025,31.3,-25.7,10,13,False,True,False,False,False,False
002613,玻璃玻纤,T2,2024-2025,9.6,-25.4,6,19,False,True,True,False,False,True
600775,通信设备,T1,2024-2025,46.0,-31.5,10,15,False,True,True,False,False,True
002414,国防军工,T3,2024-2025,87.6,-28.1,45,17,False,True,False,False,False,False
000066,计算机设备,T3,2024-2025,80.9,-44.1,0,19,False,True,False,False,False,False
002180,计算机设备,T3,2024-2025,-10.8,-35.9,50,15,True,True,False,False,False,False
002273,光学光电子,T3,2024-2025,10.4,-39.2,52,8,True,False,False,False,False,False
000586,通信设备,T1,2024-2025,62.9,-39.1,10,14,False,True,False,False,False,False
601636,玻璃玻纤,T2,2024-2025,9.4,-30.7,6,17,False,True,True,False,False,True
002935,国防军工,T3,2024-2025,27.3,-32.4,45,10,False,True,False,False,False,False
002281,通信设备,T1,2024-2025,47.6,-33.3,20,18,False,True,True,False,False,True
601869,,T3,2024-2025,78.8,-30.7,0,19,False,True,False,False,False,False
002584,电子化学品,T2,2024-2025,54.2,-22.5,50,15,True,True,True,True,True,True
000100,光学光电子,T3,2024-2025,15.3,-28.8,10,14,False,True,False,False,False,False
002199,元件,T1,2024-2025,48.6,-61.3,15,8,False,False,False,False,False,False
002396,通信设备,T1,2024-2025,114.0,-28.0,10,19,False,True,True,False,False,True
002222,光学光电子,T3,2024-2025,81.3,-22.2,30,20,False,True,False,False,False,False
002201,玻璃玻纤,T2,2024-2025,82.8,-28.2,6,8,False,False,False,False,False,False
600345,通信设备,T1,2024-2025,51.5,-32.2,10,8,False,False,False,False,False,False
002177,计算机设备,T3,2024-2025,120.1,-42.9,0,14,False,True,False,False,False,False
600879,国防军工,T3,2024-2025,38.5,-26.1,30,20,False,True,False,False,False,False
000738,国防军工,T3,2024-2025,11.8,-33.7,0,19,False,True,False,False,False,False
600293,玻璃玻纤,T2,2024-2025,28.0,-34.8,6,19,False,True,True,False,False,True
002017,通信设备,T1,2024-2025,258.6,-26.2,10,19,False,True,True,False,False,True
000823,元件,T1,2024-2025,55.7,-28.9,57,20,True,True,True,True,True,True
002484,元件,T1,2024-2025,74.6,-39.7,10,10,False,False,False,False,False,False
000020,光学光电子,T3,2025-2026,-18.4,-49.9,60,17,True,True,False,False,False,False
603256,玻璃玻纤,T2,2025-2026,757.3,-37.3,61,4,True,True,True,True,False,False
002436,元件,T1,2025-2026,129.7,-26.8,60,4,True,True,True,True,False,False
002376,计算机设备,T3,2025-2026,-21.0,-27.8,52,20,True,True,False,False,False,False
600586,玻璃玻纤,T2,2025-2026,-7.1,-36.9,24,17,False,True,True,False,False,True
002741,电子化学品,T2,2025-2026,38.7,-33.0,56,20,True,True,True,True,True,True
600563,元件,T1,2025-2026,37.9,-24.3,28,19,False,True,True,False,False,True
002189,国防军工,T3,2025-2026,-28.2,-37.7,65,12,True,True,False,False,False,False
002080,玻璃玻纤,T2,2025-2026,137.9,-26.4,29,3,False,False,False,False,False,False
002463,元件,T1,2025-2026,141.8,-24.1,33,12,False,False,False,False,False,False
003009,国防军工,T3,2025-2026,16.7,-49.0,57,20,True,True,False,False,False,False
600703,,T3,2025-2026,17.8,-39.2,60,17,True,True,False,False,False,False
002197,计算机设备,T3,2025-2026,-16.1,-45.6,45,20,False,True,False,False,False,False
002138,元件,T1,2025-2026,95.8,-24.8,65,17,True,True,True,True,True,True
200012,玻璃玻纤,T2,2025-2026,-27.1,-33.9,56,20,True,True,True,True,True,True
000725,光学光电子,T3,2025-2026,46.8,-16.1,18,19,False,True,False,False,False,False
002106,光学光电子,T3,2025-2026,16.4,-21.6,50,20,True,True,False,False,False,False
003004,计算机设备,T3,2025-2026,239.6,-15.4,19,20,False,True,False,False,False,False
600176,玻璃玻纤,T2,2025-2026,244.3,-20.7,24,19,False,True,True,False,False,True
000012,玻璃玻纤,T2,2025-2026,-14.6,-29.7,24,19,False,True,True,False,False,True
600584,,T3,2025-2026,105.5,-27.3,45,20,False,True,False,False,False,False
002152,计算机设备,T3,2025-2026,-26.2,-34.5,18,19,False,True,False,False,False,False
002579,元件,T1,2025-2026,20.1,-26.5,55,20,True,True,True,True,True,True
002415,计算机设备,T3,2025-2026,6.7,-15.7,57,17,True,True,False,False,False,False
000045,光学光电子,T3,2025-2026,-11.6,-34.6,58,17,True,True,False,False,False,False
002289,光学光电子,T3,2025-2026,43.4,-39.7,36,6,False,False,False,False,False,False
600498,通信设备,T1,2025-2026,142.0,-28.2,75,15,True,True,True,True,True,True
002077,半导体,T1,2025-2026,12.0,-24.3,70,17,True,True,True,True,True,True
002129,,T3,2025-2026,24.4,-30.5,18,17,False,True,False,False,False,False
002636,元件,T1,2025-2026,588.0,-21.7,47,20,False,True,True,False,True,True
603931,电子化学品,T2,2025-2026,118.6,-35.0,63,20,True,True,True,True,True,True
002036,光学光电子,T3,2025-2026,-26.4,-40.3,18,19,False,True,False,False,False,False
002134,元件,T1,2025-2026,32.5,-30.8,39,17,False,True,True,False,False,True
600487,通信设备,T1,2025-2026,472.1,-21.3,78,15,True,True,True,True,True,True
002236,计算机设备,T3,2025-2026,-1.3,-24.4,50,20,True,True,False,False,False,False
002217,光学光电子,T3,2025-2026,-4.4,-45.8,25,19,False,True,False,False,False,False
603061,半导体,T1,2025-2026,385.5,-25.8,72,15,True,True,True,True,True,True
002296,通信设备,T1,2025-2026,-20.7,-38.2,60,20,True,True,True,True,True,True
000070,通信设备,T1,2025-2026,94.6,-30.8,72,3,True,True,True,True,False,False
600105,通信设备,T1,2025-2026,495.2,-20.1,28,17,False,True,True,False,False,True
002313,通信设备,T1,2025-2026,-39.5,-39.7,54,3,True,False,True,True,False,False
002475,,T3,2025-2026,69.9,-33.9,55,20,True,True,False,False,False,False
600776,通信设备,T1,2025-2026,36.7,-45.9,67,17,True,True,True,True,True,True
002025,国防军工,T3,2025-2026,31.0,-29.5,23,18,False,True,False,False,False,False
605006,玻璃玻纤,T2,2025-2026,198.0,-26.9,24,19,False,True,True,False,False,True
603516,计算机设备,T3,2025-2026,22.6,-57.7,39,6,False,False,False,False,False,False
000050,光学光电子,T3,2025-2026,-21.4,-30.1,65,20,True,True,False,False,False,False
002643,电子化学品,T2,2025-2026,23.9,-24.9,54,18,True,True,True,True,True,True
000636,元件,T1,2025-2026,356.4,-30.0,62,20,True,True,True,True,True,True
000977,计算机设备,T3,2025-2026,2.9,-26.7,18,19,False,True,False,False,False,False
000063,通信设备,T1,2025-2026,9.4,-40.7,28,19,False,True,True,False,False,True
900918,玻璃玻纤,T2,2025-2026,-6.5,-23.3,24,19,False,True,True,False,False,True
002194,通信设备,T1,2025-2026,-16.3,-38.1,32,20,False,True,True,False,False,True
600819,玻璃玻纤,T2,2025-2026,0.8,-34.7,24,19,False,True,True,False,False,True
600183,元件,T1,2025-2026,283.9,-31.0,57,4,True,True,True,True,False,False
000536,光学光电子,T3,2025-2026,-31.5,-43.4,62,11,True,True,False,False,False,False
000727,光学光电子,T3,2025-2026,5.3,-19.2,50,20,True,True,False,False,False,False
603078,电子化学品,T2,2025-2026,150.3,-32.3,58,20,True,True,True,True,True,True
600237,元件,T1,2025-2026,30.5,-27.6,60,20,True,True,True,True,True,True
002049,半导体,T1,2025-2026,-2.4,-30.0,67,20,True,True,True,True,True,True
002613,玻璃玻纤,T2,2025-2026,20.9,-25.1,46,13,False,True,True,False,True,False
600775,通信设备,T1,2025-2026,-17.1,-48.7,78,12,True,True,True,True,True,False
002414,国防军工,T3,2025-2026,-0.3,-36.0,55,3,True,True,False,False,False,False
000066,计算机设备,T3,2025-2026,-1.4,-38.1,28,20,False,True,False,False,False,False
002180,计算机设备,T3,2025-2026,-39.2,-45.7,18,19,False,True,False,False,False,False
002273,光学光电子,T3,2025-2026,54.7,-23.8,65,20,True,True,False,False,False,False
000586,通信设备,T1,2025-2026,14.8,-41.9,75,17,True,True,True,True,True,True
601636,玻璃玻纤,T2,2025-2026,8.3,-26.1,24,17,False,True,True,False,False,True
002935,国防军工,T3,2025-2026,22.6,-34.1,68,17,True,True,False,False,False,False
002281,通信设备,T1,2025-2026,295.0,-26.7,63,18,True,True,True,True,True,True
601869,,T3,2025-2026,694.7,-39.6,50,3,True,False,False,False,False,False
002584,电子化学品,T2,2025-2026,-10.6,-29.1,18,20,False,True,True,False,False,True
000100,光学光电子,T3,2025-2026,3.0,-19.2,25,19,False,True,False,False,False,False
002199,元件,T1,2025-2026,23.9,-38.3,68,1,True,True,True,True,False,False
002396,通信设备,T1,2025-2026,-23.1,-34.6,65,13,True,True,True,True,True,False
002222,光学光电子,T3,2025-2026,126.0,-25.6,59,9,True,True,False,False,False,False
002201,玻璃玻纤,T2,2025-2026,39.7,-37.3,50,20,True,True,True,True,True,True
600345,通信设备,T1,2025-2026,109.6,-28.6,78,8,True,True,True,True,False,False
002177,计算机设备,T3,2025-2026,-9.5,-40.2,0,19,False,True,False,False,False,False
600879,国防军工,T3,2025-2026,78.5,-39.2,59,6,True,True,False,False,False,False
000738,国防军工,T3,2025-2026,-14.0,-38.8,58,20,True,True,False,False,False,False
600293,玻璃玻纤,T2,2025-2026,15.6,-20.9,46,20,False,True,True,False,True,True
002017,通信设备,T1,2025-2026,-48.5,-55.2,53,4,True,False,True,True,False,False
000823,元件,T1,2025-2026,40.2,-24.1,72,12,True,True,True,True,True,False
002484,元件,T1,2025-2026,221.4,-29.5,72,3,True,True,True,True,False,False
